State/UT,Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
Karnataka,Mandya,20,H.D. KUMARASWAMY,Janata Dal (Secular),VENKATARAMANE GOWDA (STAR CHANDRU),Indian National Congress,284620,Result Declared
Karnataka,Mysore,21,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,Bharatiya Janata Party,M. LAKSHMANA,Indian National Congress,139262,Result Declared
Karnataka,Raichur,6,G. KUMAR NAIK.,Indian National Congress,RAJA AMARESHWARA NAIK.,Bharatiya Janata Party,79781,Result Declared
Karnataka,Shimoga,14,B.Y.RAGHAVENDRA,Bharatiya Janata Party,GEETHA SHIVARAJKUMAR,Indian National Congress,243715,Result Declared
Karnataka,Tumkur,19,V. SOMANNA,Bharatiya Janata Party,S.P. MUDDAHANUMEGOWDA,Indian National Congress,175594,Result Declared
Karnataka,Udupi Chikmagalur,15,KOTA SRINIVAS POOJARY,Bharatiya Janata Party,K. JAYAPRAKASH HEGDE,Indian National Congress,259175,Result Declared
Karnataka,Uttara Kannada,12,VISHWESHWAR HEGDE KAGERI,Bharatiya Janata Party,DR. ANJALI NIMBALKAR,Indian National Congress,337428,Result Declared
Kerala,Alappuzha,15,K. C VENUGOPAL,Indian National Congress,A. M ARIFF,Communist Party of India (Marxist),63513,Result Declared
Kerala,Alathur,9,K.RADHAKRISHNAN,Communist Party of India (Marxist),RAMYA HARIDAS,Indian National Congress,20111,Result Declared
Kerala,Attingal,19,ADV ADOOR PRAKASH,Indian National Congress,V JOY,Communist Party of India (Marxist),684,Result Declared
Kerala,Chalakudy,11,BENNY BEHANAN,Indian National Congress,PROF C RAVEENDRANATH,Communist Party of India (Marxist),63754,Result Declared
Kerala,Ernakulam,12,HIBI EDEN,Indian National Congress,K. J. SHINE TEACHER,Communist Party of India (Marxist),250385,Result Declared
Kerala,Idukki,13,ADV. DEAN KURIAKOSE,Indian National Congress,ADV. JOICE GEORGE,Communist Party of India (Marxist),133727,Result Declared
Kerala,Kannur,2,K. SUDHAKARAN,Indian National Congress,M.V. JAYARAJAN,Communist Party of India (Marxist),108982,Result Declared
Kerala,Kasaragod,1,RAJMOHAN UNNITHAN,Indian National Congress,M.V BALAKRISHNAN MASTER,Communist Party of India (Marxist),100649,Result Declared
Kerala,Kollam,18,N K PREMACHANDRAN,Revolutionary Socialist Party,M MUKESH,Communist Party of India (Marxist),150302,Result Declared
Kerala,Kottayam,14,ADV K FRANCIS GEORGE,Kerala Congress,THOMAS CHAZHIKADAN,Kerala Congress (M),87266,Result Declared
Kerala,Kozhikode,5,M. K. RAGHAVAN,Indian National Congress,ELAMARAM KAREEM,Communist Party of India (Marxist),146176,Result Declared
Kerala,Malappuram,6,E.T. MOHAMMED BASHEER,Indian Union Muslim League,V. VASEEF,Communist Party of India (Marxist),300118,Result Declared
Kerala,Mavelikkara,16,KODIKUNNIL SURESH,Indian National Congress,ADV ARUN KUMAR C A,Communist Party of India,10868,Result Declared
Kerala,Palakkad,8,V K SREEKANDAN,Indian National Congress,A VIJAYARAGHAVAN,Communist Party of India (Marxist),75283,Result Declared
Kerala,Pathanamthitta,17,ANTO ANTONY,Indian National Congress,DR.T.M.THOMAS ISSAC,Communist Party of India (Marxist),66119,Result Declared
Kerala,Ponnani,7,DR. M.P ABDUSSAMAD SAMADANI,Indian Union Muslim League,K.S HAMZA,Communist Party of India (Marxist),235760,Result Declared
Kerala,Thiruvananthapuram,20,SHASHI THAROOR,Indian National Congress,RAJEEV CHANDRASEKHAR,Bharatiya Janata Party,16077,Result Declared
Kerala,Thrissur,10,SURESH GOPI,Bharatiya Janata Party,ADV V S SUNILKUMAR,Communist Party of India,74686,Result Declared
Kerala,Vadakara,3,SHAFI PARAMBIL,Indian National Congress,K K SHAILAJA TEACHER,Communist Party of India (Marxist),114506,Result Declared
Kerala,Wayanad,4,RAHUL GANDHI,Indian National Congress,ANNIE RAJA,Communist Party of India,364422,Result Declared
Ladakh,Ladakh,1,MOHMAD HANEEFA,Independent,TSERING NAMGYAL,Indian National Congress,27862,Result Declared
Lakshadweep,Lakshadweep,1,MUHAMMED HAMDULLAH SAYEED,Indian National Congress,MOHAMMED FAIZAL PP,Nationalist Congress Party – Sharadchandra Pawar,2647,Result Declared
Madhya Pradesh,BALAGHAT,15,BHARTI PARDHI,Bharatiya Janata Party,SAMRAT ASHOK SINGH SARASWAR,Indian National Congress,174512,Result Declared
Madhya Pradesh,BETUL,29,DURGADAS (D. D.) UIKEY,Bharatiya Janata Party,RAMU TEKAM,Indian National Congress,379761,Result Declared
Madhya Pradesh,BHIND,2,SANDHYA RAY,Bharatiya Janata Party,PHOOL SINGH BARAIYA,Indian National Congress,64840,Result Declared
Madhya Pradesh,BHOPAL,19,ALOK SHARMA,Bharatiya Janata Party,ADVOCATE ARUN SHRIVASTAVA,Indian National Congress,501499,Result Declared
Madhya Pradesh,CHHINDWARA,16,BUNTY VIVEK SAHU,Bharatiya Janata Party,NAKUL KAMALNATH,Indian National Congress,113618,Result Declared
Madhya Pradesh,DAMOH,7,RAHUL SINGH LODHI,Bharatiya Janata Party,TARBAR SINGH LODHI (BANTU BHAIYA),Indian National Congress,406426,Result Declared
Madhya Pradesh,DEWAS,21,MAHENDRA SINGH SOLANKY,Bharatiya Janata Party,RAJENDRA RADHAKISHAN MALVIYA,Indian National Congress,425225,Result Declared
Madhya Pradesh,DHAR,25,SAVITRI THAKUR,Bharatiya Janata Party,RADHESHYAM MUVEL,Indian National Congress,218665,Result Declared
Madhya Pradesh,GUNA,4,JYOTIRADITYA M. SCINDIA,Bharatiya Janata Party,YADVENDRA RAO DESHRAJ SINGH,Indian National Congress,540929,Result Declared
Madhya Pradesh,GWALIOR,3,BHARAT SINGH KUSHWAH,Bharatiya Janata Party,PRAVEEN PATHAK,Indian National Congress,70210,Result Declared
Madhya Pradesh,HOSHANGABAD,17,DARSHAN SINGH CHOUDHARY,Bharatiya Janata Party,SANJAY SHARMA SANJU BHAIYA,Indian National Congress,431696,Result Declared
Madhya Pradesh,INDORE,26,SHANKAR LALWANI,Bharatiya Janata Party,SANJAY S/O LAKSHMAN SOLANKI,Bahujan Samaj Party,1175092,Result Declared
Madhya Pradesh,JABALPUR,13,ASHISH DUBEY,Bharatiya Janata Party,DINESH YADAV,Indian National Congress,486674,Result Declared
Madhya Pradesh,KHAJURAHO,8,VISHNU DATT SHARMA (V.D.SHARMA),Bharatiya Janata Party,KAMLESH KUMAR,Bahujan Samaj Party,541229,Result Declared
Madhya Pradesh,KHANDWA,28,GYANESHWAR PATIL,Bharatiya Janata Party,NARENDRA PATEL,Indian National Congress,269971,Result Declared
Madhya Pradesh,KHARGONE,27,GAJENDRA SINGH PATEL,Bharatiya Janata Party,PORLAL BATHA KHARTE,Indian National Congress,135018,Result Declared
Madhya Pradesh,MANDLA,14,FAGGAN SINGH KULASTE,Bharatiya Janata Party,OMKAR SINGH MARKAM,Indian National Congress,103846,Result Declared
Madhya Pradesh,MANDSOUR,23,SUDHEER GUPTA,Bharatiya Janata Party,DILIP SINGH GURJAR,Indian National Congress,500655,Result Declared
Madhya Pradesh,MORENA,1,SHIVMANGAL SINGH TOMAR,Bharatiya Janata Party,NEETU SATYAPAL SINGH SIKARWAR,Indian National Congress,52530,Result Declared
Madhya Pradesh,RAJGARH,20,RODMAL NAGAR,Bharatiya Janata Party,DIGVIJAYA SINGH,Indian National Congress,146089,Result Declared
Madhya Pradesh,RATLAM,24,ANITA NAGARSINGH CHOUHAN,Bharatiya Janata Party,KANTILAL BHURIA,Indian National Congress,207232,Result Declared
Madhya Pradesh,REWA,10,JANARDAN MISHRA,Bharatiya Janata Party,NEELAM ABHAY MISHRA,Indian National Congress,193374,Result Declared
Madhya Pradesh,SAGAR,5,DR. LATA WANKHEDE,Bharatiya Janata Party,CHANDRA BHUSAN SINGH BUNDELA 'GUDDU RAJA',Indian National Congress,471222,Result Declared
Madhya Pradesh,SATNA,9,GANESH SINGH,Bharatiya Janata Party,DABBU SIDDHARTH SUKHLAL KUSHWAHA,Indian National Congress,84949,Result Declared
Madhya Pradesh,SHAHDOL,12,SMT. HIMADRI SINGH,Bharatiya Janata Party,PHUNDE LAL SINGH MARKO,Indian National Congress,397340,Result Declared
Madhya Pradesh,SIDHI,11,DR. RAJESH MISHRA,Bharatiya Janata Party,KAMLESHWAR INDRAJIT KUMAR,Indian National Congress,206416,Result Declared
Madhya Pradesh,TIKAMGARH,6,DR. VIRENDRA KUMAR,Bharatiya Janata Party,KHUMAN URF PANKAJ AHIRWAR,Indian National Congress,403312,Result Declared
Madhya Pradesh,UJJAIN,22,ANIL FIROJIYA,Bharatiya Janata Party,MAHESH PARMAR,Indian National Congress,375860,Result Declared
Madhya Pradesh,VIDISHA,18,SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party,PRATAPBHANU SHARMA,Indian National Congress,821408,Result Declared
Maharashtra,Ahmednagar,37,NILESH DNYANDEV LANKE,Nationalist Congress Party – Sharadchandra Pawar,DR. SUJAY RADHAKRISHNA VIKHEPATIL,Bharatiya Janata Party,28929,Result Declared
Maharashtra,Akola,6,ANUP SANJAY DHOTRE,Bharatiya Janata Party,ABHAY KASHINATH PATIL,Indian National Congress,40626,Result Declared
Maharashtra,Amravati,7,BALWANT BASWANT WANKHADE,Indian National Congress,NAVNEET RAVI RANA,Bharatiya Janata Party,19731,Result Declared
Maharashtra,Aurangabad,19,BHUMARE SANDIPANRAO ASARAM,Shiv Sena,IMTIAZ JALEEL SYED,All India Majlis-E-Ittehadul Muslimeen,134650,Result Declared
Maharashtra,Baramati,35,SUPRIYA SULE,Nationalist Congress Party – Sharadchandra Pawar,SUNETRA AJITDADA PAWAR,Nationalist Congress Party,158333,Result Declared
Maharashtra,Beed,39,BAJRANG MANOHAR SONWANE,Nationalist Congress Party – Sharadchandra Pawar,PANKAJA GOPINATHRAO MUNDE,Bharatiya Janata Party,6250,Result in Progress
Maharashtra,Bhandara Gondiya,11,DR. PRASHANT YADAORAO PADOLE,Indian National Congress,SUNIL BABURAO MENDHE,Bharatiya Janata Party,37380,Result Declared
Maharashtra,Bhiwandi,23,BALYA MAMA - SURESH GOPINATH MHATRE,Nationalist Congress Party – Sharadchandra Pawar,KAPIL MORESHWAR PATIL,Bharatiya Janata Party,66121,Result Declared
Maharashtra,Buldhana,5,JADHAV PRATAPRAO GANPATRAO,Shiv Sena,NARENDRA DAGDU KHEDEKAR,Shiv Sena (Uddhav Balasaheb Thackrey),29479,Result Declared
Maharashtra,Chandrapur,13,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,Indian National Congress,MUNGANTIWAR SUDHIR SACCHIDANAND,Bharatiya Janata Party,260406,Result Declared
Maharashtra,Dhule,2,BACHHAV SHOBHA DINESH,Indian National Congress,BHAMRE SUBHASH RAMRAO,Bharatiya Janata Party,3831,Result Declared
Maharashtra,Dindori,20,BHASKAR MURLIDHAR BHAGARE,Nationalist Congress Party – Sharadchandra Pawar,DR. BHARATI PRAVIN PAWAR,Bharatiya Janata Party,113199,Result Declared
Maharashtra,Gadchiroli - Chimur,12,DR. KIRSAN NAMDEO,Indian National Congress,ASHOK MAHADEORAO NETE,Bharatiya Janata Party,141696,Result Declared
Maharashtra,Hatkanangale,48,DHAIRYASHEEL SAMBHAJIRAO MANE,Shiv Sena,SATYAJEET BABASAHEB PATIL (AABA) SARUDKAR,Shiv Sena (Uddhav Balasaheb Thackrey),13426,Result Declared
Maharashtra,Hingoli,15,AASHTIKAR PATIL NAGESH BAPURAO,Shiv Sena (Uddhav Balasaheb Thackrey),BABURAO KADAM KOHALIKAR,Shiv Sena,108602,Result Declared
Maharashtra,Jalgaon,3,SMITA UDAY WAGH,Bharatiya Janata Party,KARAN BALASAHEB PATIL - PAWAR,Shiv Sena (Uddhav Balasaheb Thackrey),251594,Result Declared
Maharashtra,Jalna,18,KALYAN VAIJINATHRAO KALE,Indian National Congress,DANVE RAOSAHEB DADARAO,Bharatiya Janata Party,109958,Result Declared
Maharashtra,Kalyan,24,DR SHRIKANT EKNATH SHINDE,Shiv Sena,VAISHALI DAREKAR - RANE,Shiv Sena (Uddhav Balasaheb Thackrey),209144,Result Declared
Maharashtra,Kolhapur,47,CHHATRAPATI SHAHU SHAHAJI,Indian National Congress,SANJAY SADASHIVRAO MANDLIK,Shiv Sena,154964,Result Declared
Maharashtra,Latur,41,DR. KALGE SHIVAJI BANDAPPA,Indian National Congress,SUDHAKAR TUKARAM SHRANGARE,Bharatiya Janata Party,61881,Result Declared
Maharashtra,Madha,43,MOHITE-PATIL DHAIRYASHEEL RAJSINH,Nationalist Congress Party – Sharadchandra Pawar,RANJEETSINGH HINDURAO NAIK NIMBALKAR,Bharatiya Janata Party,120837,Result Declared
Maharashtra,Maval,33,SHRIRANG APPA CHANDU BARNE,Shiv Sena,SANJOG BHIKU WAGHERE PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),96615,Result Declared
Maharashtra,Mumbai North,26,PIYUSH GOYAL,Bharatiya Janata Party,BHUSHAN PATIL,Indian National Congress,357608,Result Declared
Maharashtra,Mumbai North Central,29,GAIKWAD VARSHA EKNATH,Indian National Congress,ADV UJWAL NIKAM,Bharatiya Janata Party,16514,Result Declared
Maharashtra,Mumbai North East,28,SANJAY DINA PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),MIHIR CHANDRAKANT KOTECHA,Bharatiya Janata Party,29861,Result Declared
Maharashtra,Mumbai North West,27,RAVINDRA DATTARAM WAIKAR,Shiv Sena,AMOL GAJANAN KIRTIKAR,Shiv Sena (Uddhav Balasaheb Thackrey),48,Result Declared
Maharashtra,Mumbai South,31,ARVIND GANPAT SAWANT,Shiv Sena (Uddhav Balasaheb Thackrey),YAMINI YASHWANT JADHAV,Shiv Sena,52673,Result Declared
Maharashtra,Mumbai South Central,30,ANIL YESHWANT DESAI,Shiv Sena (Uddhav Balasaheb Thackrey),RAHUL RAMESH SHEWALE,Shiv Sena,53384,Result Declared
Maharashtra,Nagpur,10,NITIN JAIRAM GADKARI,Bharatiya Janata Party,VIKAS THAKRE,Indian National Congress,137603,Result Declared
Maharashtra,Nanded,16,CHAVAN VASANTRAO BALWANTRAO,Indian National Congress,CHIKHALIKAR PRATAPRAO GOVINDRAO,Bharatiya Janata Party,59442,Result Declared
Maharashtra,Nandurbar,1,ADV GOWAAL KAGADA PADAVI,Indian National Congress,DR HEENA VIJAYKUMAR GAVIT,Bharatiya Janata Party,159120,Result Declared
Maharashtra,Nashik,21,RAJABHAU (PARAG) PRAKASH WAJE,Shiv Sena (Uddhav Balasaheb Thackrey),GODSE HEMANT TUKARAM,Shiv Sena,162001,Result Declared
Maharashtra,Osmanabad,40,OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,Shiv Sena (Uddhav Balasaheb Thackrey),ARCHANA RANAJAGJITSINH PATIL,Nationalist Congress Party,329846,Result Declared
Maharashtra,Palghar,22,DR. HEMANT VISHNU SAVARA,Bharatiya Janata Party,BHARTI BHARAT KAMDI,Shiv Sena (Uddhav Balasaheb Thackrey),183306,Result Declared
Maharashtra,Parbhani,17,JADHAV SANJAY ( BANDU ) HARIBHAU,Shiv Sena (Uddhav Balasaheb Thackrey),JANKAR MAHADEV JAGANNATH,Rashtriya Samaj Paksha,134061,Result Declared
Maharashtra,Pune,34,MURLIDHAR MOHOL,Bharatiya Janata Party,DHANGEKAR RAVINDRA HEMRAJ,Indian National Congress,123038,Result Declared
Maharashtra,Raigad,32,TATKARE SUNIL DATTATREY,Nationalist Congress Party,ANANT GEETE,Shiv Sena (Uddhav Balasaheb Thackrey),82784,Result Declared
Maharashtra,Ramtek,9,Shyamkumar (Babalu) Daulat Barve,Indian National Congress,RAJU DEONATH PARVE,Shiv Sena,76768,Result Declared
Maharashtra,Ratnagiri- Sindhudurg,46,NARAYAN TATU RANE,Bharatiya Janata Party,VINAYAK BHAURAO RAUT,Shiv Sena (Uddhav Balasaheb Thackrey),47858,Result Declared
Maharashtra,Raver,4,KHADSE RAKSHA NIKHIL,Bharatiya Janata Party,SHRIRAM DAYARAM PATIL,Nationalist Congress Party – Sharadchandra Pawar,272183,Result Declared
Maharashtra,Sangli,44,VISHAL (DADA) PRAKASHBAPU PATIL,Independent,SANJAY (KAKA) PATIL,Bharatiya Janata Party,100053,Result Declared
Maharashtra,Satara,45,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,Bharatiya Janata Party,SHASHIKANT JAYVANTRAO SHINDE,Nationalist Congress Party – Sharadchandra Pawar,32771,Result Declared
Maharashtra,Shirdi,38,BHAUSAHEB RAJARAM WAKCHAURE,Shiv Sena (Uddhav Balasaheb Thackrey),LOKHANDE SADASHIV KISAN,Shiv Sena,50529,Result Declared
Maharashtra,Shirur,36,DR. AMOL RAMSING KOLHE,Nationalist Congress Party – Sharadchandra Pawar,ADHALRAO SHIVAJI DATTATREY,Nationalist Congress Party,140951,Result Declared
Maharashtra,Solapur,42,PRANITI SUSHILKUMAR SHINDE,Indian National Congress,RAM VITTHAL SATPUTE,Bharatiya Janata Party,74197,Result Declared
Maharashtra,Thane,25,NARESH GANPAT MHASKE,Shiv Sena,RAJAN BABURAO VICHARE,Shiv Sena (Uddhav Balasaheb Thackrey),217011,Result Declared
Maharashtra,Wardha,8,AMAR SHARADRAO KALE,Nationalist Congress Party – Sharadchandra Pawar,RAMDAS CHANDRABHAN TADAS,Bharatiya Janata Party,81648,Result Declared
Maharashtra,Yavatmal- Washim,14,SANJAY UTTAMRAO DESHMUKH,Shiv Sena (Uddhav Balasaheb Thackrey),RAJSHRITAI HEMANT PATIL (MAHALLE),Shiv Sena,94473,Result Declared
Manipur,Inner Manipur,1,ANGOMCHA BIMOL AKOIJAM,Indian National Congress,THOUNAOJAM BASANTA KUMAR SINGH,Bharatiya Janata Party,109801,Result Declared
Manipur,Outer Manipur,2,ALFRED KANNGAM S ARTHUR,Indian National Congress,KACHUI TIMOTHY ZIMIK,Naga Peoples Front,85418,Result Declared
Meghalaya,Shillong,1,DR. RICKY ANDREW J. SYNGKON,Voice of the People Party,VINCENT H. PALA,Indian National Congress,371910,Result Declared
Meghalaya,Tura,2,SALENG A SANGMA,Indian National Congress,AGATHA K SANGMA,National People's Party,155241,Result Declared
Mizoram,MIZORAM,1,RICHARD VANLALHMANGAIHA,Zoram People’s Movement,K VANLALVENA,Mizo National Front,68288,Result Declared
Nagaland,Nagaland,1,S SUPONGMEREN JAMIR,Indian National Congress,DR CHUMBEN MURRY,Nationalist Democratic Progressive Party,50984,Result Declared
Delhi,Chandni Chowk,1,PRAVEEN KHANDELWAL,Bharatiya Janata Party,JAI PRAKASH AGARWAL,Indian National Congress,89325,Result Declared
Delhi,East Delhi,3,HARSH MALHOTRA,Bharatiya Janata Party,KULDEEP KUMAR (MONU),Aam Aadmi Party,93663,Result Declared
Delhi,New Delhi,4,BANSURI SWARAJ,Bharatiya Janata Party,SOMNATH BHARTI,Aam Aadmi Party,78370,Result Declared
Delhi,North-East Delhi,2,MANOJ TIWARI,Bharatiya Janata Party,KANHAIYA KUMAR,Indian National Congress,138778,Result Declared
Delhi,North-West Delhi,5,YOGENDER CHANDOLIYA,Bharatiya Janata Party,UDIT RAJ,Indian National Congress,290849,Result Declared
Delhi,South Delhi,7,RAMVIR SINGH BIDHURI,Bharatiya Janata Party,SAHI RAM,Aam Aadmi Party,124333,Result Declared
Delhi,West Delhi,6,KAMALJEET SEHRAWAT,Bharatiya Janata Party,MAHABAL MISHRA,Aam Aadmi Party,199013,Result Declared
Odisha,Aska,19,ANITA SUBHADARSHINI,Bharatiya Janata Party,RANJITA SAHU,Biju Janata Dal,99974,Result Declared
Odisha,Balasore,6,PRATAP CHANDRA SARANGI,Bharatiya Janata Party,LEKHASRI SAMANTSINGHAR,Biju Janata Dal,147156,Result Declared
Odisha,Bargarh,1,PRADEEP PUROHIT,Bharatiya Janata Party,PARINITA MISHRA,Biju Janata Dal,251667,Result Declared
Odisha,Berhampur,20,DR. PRADEEP KUMAR PANIGRAHY,Bharatiya Janata Party,BHRUGU BAXIPATRA,Biju Janata Dal,165476,Result Declared
